"","folder","date","individual","morph","origin","observer","observation_number","observation","day_in_captivity","assay_number","cycle","cue","trait","session","temp","precip","humid","wind","press","moon","test_start","test_end","actual_end","first_trig","food_trig","emerge","emergeflip","food","foodflip","active","vigil","out","hidraw","hid","trig","trigpass","gud","tame"
"127","127 - EQ30 D07 T10 C5 S2",2017-07-12,"EQ30","Fawn","Wild","BW",127,6,7,10,0.217730251882999,"Audio","Boldness",0.988896158930711,-2.02998872195955,0.313291251794084,0.670037596875247,-0.747267260946005,1.67336342656916,1.00668946663795,"0.90972222222222221","1.1111111111111112E-2","0.99305555555555558","0.94851851851851843","GUD",0.426028274979141,65,1.12706388897879,0,-0.589343311098387,-0.520118316057926,-0.61073668785404,1.01653333333333,0.610736687854039,3,-0.622807570433752,-0.474123673370495,"0"
"128","128 - EQ31 D07 T10 C5 S2",2017-07-12,"EQ31","Fawn","Wild","BW",128,10,7,10,0.217730251882999,"Audio","Boldness",0.988896158930711,-2.02998872195955,0.313291251794084,0.670037596875247,-0.747267260946005,1.67336342656916,1.00668946663795,"-","-","-","-","-",2.11483080253054,0,1.12706388897879,0,-0.589343311098387,-0.84267416802197,-0.731844648563364,12,0.731844648563365,0,-0.673779033998663,2.41412858318647,"0"
"129","129 - EQ19 D10 T11 C1 S1",2017-06-23,"EQ19","Dark","Captive","BW",129,11,10,11,-1.52411176318099,"Light","Exploration",-1.00671410774027,1.20034853387913,-0.313291251794084,-0.951663339916274,1.39434447577683,-0.98882871922117,-1.71026760653675,"0.74791666666666667","0.83888888888888891","0.83125000000000004","0.75145833333333334","0.75805555555555548",-0.873050592368089,115,-1.20342509298694,106,-0.292054442184896,-0.707582938373367,-0.471552228502441,14.84045,0.471552228502441,31,-0.0621214712197349,-0.474123673370495,"3"
"130","130 - EQ20 D07 T11 C6 S1",2017-06-20,"EQ20","Dark","Captive","JN",130,9,7,11,0.653190755648996,"Light","Exploration",-1.00671410774027,0.123569448599571,-0.313291251794084,0.670037596875247,-0.468477567408121,0.683157811366667,-1.07451164680934,"0.74930555555555556","0.84444444444444444","0.83263888888888893","0.75583333333333336","0.76420138888888889",-0.769124282980311,111,-1.04952487719675,99,0.190937772859234,0.725457587801209,0.406982399556432,23.8898333333333,-0.40698239955643,56,0.447593164429372,-0.474123673370495,"0"
"131","131 - EQ21 D07 T11 C6 S1",2017-06-20,"EQ21","Fawn","Captive","JN",131,10,7,11,0.653190755648996,"Light","Exploration",-1.00671410774027,0.123569448599571,-0.313291251794084,0.670037596875247,-0.468477567408121,0.683157811366667,-1.07451164680934,"0.75","0.84513888888888899","0.83333333333333337","0.75328703703703714","0.79859953703703701",-0.899032169715034,116,0.00579088822169727,51,-0.423776146210383,-0.171823056051873,-0.363249726607481,10.2416666666667,0.363249726607482,23,-0.316978789044288,-0.474123673370495,"0"
"132","132 - EQ22 D07 T11 C6 S1",2017-06-20,"EQ22","Dark","Captive","JN",132,8,7,11,0.653190755648996,"Light","Exploration",-1.00671410774027,0.123569448599571,-0.313291251794084,0.670037596875247,-0.468477567408121,0.683157811366667,-1.07451164680934,"0.75069444444444444","0.84583333333333333","0.83402777777777781","0.76225694444444436","0.76230324074074074",-0.587253241551699,104,-1.15945360276117,104,2.00721698941882,1.37103691130668,1.92974038558326,60.0342833333333,-1.92974038558326,139,1.5179938992925,-0.474123673370495,"2"
"133","133 - EQ23 D10 T11 C1 S1",2017-06-23,"EQ23","Fawn","Captive","BW",133,11,10,11,-1.52411176318099,"Light","Exploration",-1.00671410774027,1.20034853387913,-0.313291251794084,-0.951663339916274,1.39434447577683,-0.98882871922117,-1.71026760653675,"0.74930555555555556","0.84027777777777779","0.83263888888888893","0.75228009259259254","0.75826388888888896",-0.899032169715034,116,-1.2473965832127,108,2.50605176061137,2.12215594029878,2.56340639658236,79.9469333333333,-2.56340639658236,183,3.04713780623982,-0.474123673370495,"3"
"134","134 - EQ24 D10 T11 C7 S1",2017-07-06,"EQ24","Fawn","Wild","GH",134,11,10,11,1.08865125941499,"Audio","Boldness",-1.00671410774027,0.155239421696029,-0.313291251794084,-0.951663339916274,0.443925065988591,-1.02129447709667,0.961706733638365,"0.74305555555555558","0.84166666666666667","0.82638888888888895","0.75753472222222218","GUD",-0.48332693216392,100,1.12706388897879,0,-0.528057633366371,-0.0699023194684662,-0.398494318766003,5.24106666666667,0.398494318766003,13,-0.520864643303931,-0.474123673370495,"0"
"135","135 - EQ25 D10 T11 C7 S1",2017-07-06,"EQ25","Dark","Wild","GH",135,11,10,11,1.08865125941499,"Audio","Boldness",-1.00671410774027,0.155239421696029,-0.313291251794084,-0.951663339916274,0.443925065988591,-1.02129447709667,0.961706733638365,"0.74375000000000002","0.84236111111111112","0.82708333333333339","0.7522106481481482","GUD",-0.691179550939477,108,1.12706388897879,0,-0.589343311098387,-0.84267416802197,-0.731844648563364,2.57466666666667,0.731844648563365,5,-0.571836106868842,-0.474123673370495,"0"
"136","136 - EQ26 D10 T11 C7 S1",2017-07-06,"EQ26","Fawn","Wild","GH",136,9,10,11,1.08865125941499,"Audio","Boldness",-1.00671410774027,0.155239421696029,-0.313291251794084,-0.951663339916274,0.443925065988591,-1.02129447709667,0.961706733638365,"0.74444444444444446","0.84305555555555556","0.82777777777777783","0.75230324074074073","GUD",-0.717161128286421,109,1.12706388897879,0,-0.37352503082644,0.0449186180649052,-0.246447148176131,8.70063333333333,0.24644714817613,21,-0.367950252609199,-0.474123673370495,"0"
